UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN,YEAR
222822,24,-2,1,R,611,R,225,R,386,R,3,R,1,R,2,R,0,R,0,R,0,R,67,R,26,R,41,R,211,R,80,R,131,R,0,R,0,R,0,R,277,R,99,R,178,R,16,R,2,R,14,R,13,R,3,R,10,R,24,R,14,R,10,A,,A,,A,,A,,2023
222822,25,-2,1,R,887,R,286,R,601,R,6,R,3,R,3,R,6,R,3,R,3,R,140,R,35,R,105,R,273,R,106,R,167,R,0,R,0,R,0,R,406,R,116,R,290,R,20,R,6,R,14,R,7,R,4,R,3,R,29,R,13,R,16,A,,A,,A,,A,,2023
222822,31,-2,1,R,114,R,52,R,62,R,0,R,0,R,0,R,2,R,1,R,1,R,8,R,2,R,6,R,43,R,17,R,26,R,0,R,0,R,0,R,54,R,31,R,23,R,2,R,1,R,1,R,3,R,0,R,3,R,2,R,0,R,2,A,,A,,A,,A,,2023
222822,39,-2,1,R,112,R,41,R,71,R,1,R,0,R,1,R,0,R,0,R,0,R,20,R,8,R,12,R,22,R,7,R,15,R,0,R,0,R,0,R,62,R,21,R,41,R,2,R,1,R,1,R,0,R,0,R,0,R,5,R,4,R,1,A,,A,,A,,A,,2023
222822,40,-2,1,R,775,R,245,R,530,R,5,R,3,R,2,R,6,R,3,R,3,R,120,R,27,R,93,R,251,R,99,R,152,R,0,R,0,R,0,R,344,R,95,R,249,R,18,R,5,R,13,R,7,R,4,R,3,R,24,R,9,R,15,A,,A,,A,,A,,2023
222822,41,-2,999,R,3776,R,1309,R,2467,R,26,R,8,R,18,R,50,R,17,R,33,R,565,R,165,R,400,R,1111,R,403,R,708,R,1,R,0,R,1,R,1785,R,633,R,1152,R,100,R,35,R,65,R,95,R,35,R,60,R,43,R,13,R,30,A,,A,,A,,A,,2023
222822,42,-2,1,R,3776,R,1309,R,2467,R,26,R,8,R,18,R,50,R,17,R,33,R,565,R,165,R,400,R,1111,R,403,R,708,R,1,R,0,R,1,R,1785,R,633,R,1152,R,100,R,35,R,65,R,95,R,35,R,60,R,43,R,13,R,30,A,,A,,A,,A,,2023
222822,43,-2,1,R,1866,R,549,R,1317,R,21,R,7,R,14,R,20,R,6,R,14,R,330,R,74,R,256,R,534,R,177,R,357,R,1,R,0,R,1,R,863,R,252,R,611,R,48,R,16,R,32,R,21,R,9,R,12,R,28,R,8,R,20,A,,A,,A,,A,,2023
222822,44,-2,1,R,399,R,151,R,248,R,5,R,2,R,3,R,7,R,2,R,5,R,73,R,23,R,50,R,121,R,57,R,64,R,0,R,0,R,0,R,166,R,57,R,109,R,13,R,5,R,8,R,9,R,4,R,5,R,5,R,1,R,4,A,,A,,A,,A,,2023
222822,45,-2,1,R,1467,R,398,R,1069,R,16,R,5,R,11,R,13,R,4,R,9,R,257,R,51,R,206,R,413,R,120,R,293,R,1,R,0,R,1,R,697,R,195,R,502,R,35,R,11,R,24,R,12,R,5,R,7,R,23,R,7,R,16,A,,A,,A,,A,,2023
