UNITID,CIPCODE,MAJORNUM,AWLEVEL,XCTOTALT,CTOTALT,XCTOTALM,CTOTALM,XCTOTALW,CTOTALW,XCAIANT,CAIANT,XCAIANM,CAIANM,XCAIANW,CAIANW,XCASIAT,CASIAT,XCASIAM,CASIAM,XCASIAW,CASIAW,XCBKAAT,CBKAAT,XCBKAAM,CBKAAM,XCBKAAW,CBKAAW,XCHISPT,CHISPT,XCHISPM,CHISPM,XCHISPW,CHISPW,XCNHPIT,CNHPIT,XCNHPIM,CNHPIM,XCNHPIW,CNHPIW,XCWHITT,CWHITT,XCWHITM,CWHITM,XCWHITW,CWHITW,XC2MORT,C2MORT,XC2MORM,C2MORM,XC2MORW,C2MORW,XCUNKNT,CUNKNT,XCUNKNM,CUNKNM,XCUNKNW,CUNKNW,XCNRALT,CNRALT,XCNRALM,CNRALM,XCNRALW,CNRALW  ,YEAR
222567,52.0201,1,2,R,38,R,36,R,2,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,12,R,12,R,0,R,7,R,6,R,1,Z,0,Z,0,Z,0,R,18,R,17,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2021
222567,52.0201,1,3,R,44,R,41,R,3,R,1,R,1,R,0,Z,0,Z,0,Z,0,R,11,R,11,R,0,R,11,R,9,R,2,Z,0,Z,0,Z,0,R,21,R,20,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2021
222567,52.0401,1,2,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2021
222567,52.0402,1,3,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2021
222567,52.0408,1,2,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2021
222567,54.0101,1,3,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,2021
222567,99.0,1,2,R,195,R,118,R,77,R,1,R,1,R,0,R,9,R,3,R,6,R,32,R,24,R,8,R,57,R,36,R,21,Z,0,Z,0,Z,0,R,86,R,49,R,37,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,6,R,3,R,3,2021
222567,99.0,1,3,R,805,R,314,R,491,R,3,R,2,R,1,R,52,R,22,R,30,R,86,R,44,R,42,R,288,R,98,R,190,R,3,R,3,R,0,R,336,R,134,R,202,Z,0,Z,0,Z,0,R,20,R,8,R,12,R,17,R,3,R,14,2021
222567,99.0,1,4,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,Z,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,0,R,0,2021
222567,99.0,1,21,R,178,R,97,R,81,R,1,R,1,R,0,R,15,R,7,R,8,R,19,R,4,R,15,R,66,R,42,R,24,R,0,Z,0,R,0,R,60,R,34,R,26,Z,0,Z,0,Z,0,R,8,R,5,R,3,R,9,R,4,R,5,2021
