UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,YEAR
222576,60,-2,1,R,4542,R,1354,R,3188,R,24,R,9,R,15,R,120,R,44,R,76,R,316,R,97,R,219,R,2202,R,632,R,1570,R,2,Z,0,R,2,R,1722,R,521,R,1201,R,112,R,30,R,82,R,44,R,21,R,23,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222822,1,1,999,R,5797,R,2019,R,3778,R,42,R,15,R,27,R,59,R,22,R,37,R,864,R,238,R,626,R,1712,R,667,R,1045,R,4,R,1,R,3,R,2767,R,946,R,1821,R,155,R,55,R,100,R,94,R,33,R,61,R,100,R,42,R,58,R,0.0,A,,R,0.0,R,5797.0,2022
222822,2,2,1,R,5797,R,2019,R,3778,R,42,R,15,R,27,R,59,R,22,R,37,R,864,R,238,R,626,R,1712,R,667,R,1045,R,4,R,1,R,3,R,2767,R,946,R,1821,R,155,R,55,R,100,R,94,R,33,R,61,R,100,R,42,R,58,R,0.0,A,,R,0.0,R,5797.0,2022
222822,3,-2,1,R,3897,R,1223,R,2674,R,38,R,12,R,26,R,34,R,9,R,25,R,653,R,166,R,487,R,1135,R,419,R,716,R,3,R,1,R,2,R,1821,R,540,R,1281,R,101,R,30,R,71,R,25,R,9,R,16,R,87,R,37,R,50,A,,A,,A,,A,,2022
222822,4,-2,1,R,881,R,357,R,524,R,8,R,1,R,7,R,6,R,2,R,4,R,134,R,49,R,85,R,285,R,128,R,157,R,0,R,0,R,0,R,378,R,150,R,228,R,33,R,12,R,21,R,9,R,3,R,6,R,28,R,12,R,16,A,,A,,A,,A,,2022
222822,5,-2,1,R,3016,R,866,R,2150,R,30,R,11,R,19,R,28,R,7,R,21,R,519,R,117,R,402,R,850,R,291,R,559,R,3,R,1,R,2,R,1443,R,390,R,1053,R,68,R,18,R,50,R,16,R,6,R,10,R,59,R,25,R,34,A,,A,,A,,A,,2022
222822,11,-2,1,R,1900,R,796,R,1104,R,4,R,3,R,1,R,25,R,13,R,12,R,211,R,72,R,139,R,577,R,248,R,329,R,1,R,0,R,1,R,946,R,406,R,540,R,54,R,25,R,29,R,69,R,24,R,45,R,13,R,5,R,8,A,,A,,A,,A,,2022
222822,19,-2,1,R,251,R,76,R,175,R,2,R,2,R,0,R,4,R,0,R,4,R,47,R,13,R,34,R,33,R,13,R,20,R,0,R,0,R,0,R,149,R,42,R,107,R,6,R,0,R,6,R,3,R,1,R,2,R,7,R,5,R,2,A,,A,,A,,A,,2022
222822,20,-2,1,R,2765,R,790,R,1975,R,28,R,9,R,19,R,24,R,7,R,17,R,472,R,104,R,368,R,817,R,278,R,539,R,3,R,1,R,2,R,1294,R,348,R,946,R,62,R,18,R,44,R,13,R,5,R,8,R,52,R,20,R,32,A,,A,,A,,A,,2022
222822,21,-2,999,R,1346,R,478,R,868,R,10,R,3,R,7,R,7,R,4,R,3,R,198,R,58,R,140,R,420,R,166,R,254,R,0,R,0,R,0,R,611,R,205,R,406,R,36,R,12,R,24,R,11,R,6,R,5,R,53,R,24,R,29,A,,A,,A,,A,,2022
222822,22,-2,1,R,1346,R,478,R,868,R,10,R,3,R,7,R,7,R,4,R,3,R,198,R,58,R,140,R,420,R,166,R,254,R,0,R,0,R,0,R,611,R,205,R,406,R,36,R,12,R,24,R,11,R,6,R,5,R,53,R,24,R,29,A,,A,,A,,A,,2022
222822,23,-2,1,R,1249,R,445,R,804,R,10,R,3,R,7,R,6,R,4,R,2,R,188,R,56,R,132,R,386,R,155,R,231,R,0,R,0,R,0,R,565,R,187,R,378,R,33,R,11,R,22,R,11,R,6,R,5,R,50,R,23,R,27,A,,A,,A,,A,,2022
222822,24,-2,1,R,450,R,198,R,252,R,4,R,0,R,4,R,1,R,1,R,0,R,62,R,24,R,38,R,154,R,75,R,79,R,0,R,0,R,0,R,186,R,80,R,106,R,13,R,4,R,9,R,6,R,3,R,3,R,24,R,11,R,13,A,,A,,A,,A,,2022
222822,25,-2,1,R,799,R,247,R,552,R,6,R,3,R,3,R,5,R,3,R,2,R,126,R,32,R,94,R,232,R,80,R,152,R,0,R,0,R,0,R,379,R,107,R,272,R,20,R,7,R,13,R,5,R,3,R,2,R,26,R,12,R,14,A,,A,,A,,A,,2022
