UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW ,YEAR,GRNRALW
222831,15,19,2,2,21 ,R,43,R,25.0,R,18.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3.0,R,3.0,R,0.0,R,20.0,R,8.0,R,12.0,R,0.0,R,0.0,R,0.0,R,18.0,R,13.0,R,5.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2020,
222831,16,20,2,2,30 ,R,398,R,184.0,R,214.0,R,2.0,R,0.0,R,2.0,R,2.0,R,1.0,R,1.0,R,59.0,R,36.0,R,23.0,R,136.0,R,62.0,R,74.0,R,2.0,R,1.0,R,1.0,R,175.0,R,72.0,R,103.0,R,18.0,R,8.0,R,10.0,R,0.0,R,0.0,R,0.0,R,4.0,R,4.0,R,0.0,2020,
222831,40,11,1,1,999,R,2,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020,
222831,41,31,1,1,999,R,33,R,21.0,R,12.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,16.0,R,7.0,R,9.0,R,0.0,R,0.0,R,0.0,R,13.0,R,11.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,2020,
222831,42,32,1,1,999,R,286,R,161.0,R,125.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,21.0,R,13.0,R,8.0,R,110.0,R,60.0,R,50.0,R,2.0,R,1.0,R,1.0,R,123.0,R,74.0,R,49.0,R,15.0,R,7.0,R,8.0,R,0.0,R,0.0,R,0.0,R,14.0,R,6.0,R,8.0,2020,
222831,43,31,2,2,22 ,R,33,R,21.0,R,12.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,16.0,R,7.0,R,9.0,R,0.0,R,0.0,R,0.0,R,13.0,R,11.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,2020,
222831,44,32,2,2,23 ,R,286,R,161.0,R,125.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,R,21.0,R,13.0,R,8.0,R,110.0,R,60.0,R,50.0,R,2.0,R,1.0,R,1.0,R,123.0,R,74.0,R,49.0,R,15.0,R,7.0,R,8.0,R,0.0,R,0.0,R,0.0,R,14.0,R,6.0,R,8.0,2020,
222992,2,12,1,1,999,R,2225,R,1126.0,R,1099.0,R,15.0,R,4.0,R,11.0,R,120.0,R,61.0,R,59.0,R,95.0,R,47.0,R,48.0,R,672.0,R,313.0,R,359.0,R,3.0,R,2.0,R,1.0,R,912.0,R,492.0,R,420.0,R,91.0,R,52.0,R,39.0,R,208.0,R,96.0,R,112.0,R,109.0,R,59.0,R,50.0,2020,
222992,3,13,1,1,999,R,257,R,131.0,R,126.0,R,1.0,R,1.0,Z,0.0,R,16.0,R,3.0,R,13.0,R,10.0,R,7.0,R,3.0,R,78.0,R,36.0,R,42.0,Z,0.0,Z,0.0,Z,0.0,R,104.0,R,59.0,R,45.0,R,5.0,R,2.0,R,3.0,R,27.0,R,12.0,R,15.0,R,16.0,R,11.0,R,5.0,2020,
222992,4,20,1,1,999,R,931,R,471.0,R,460.0,R,7.0,R,1.0,R,6.0,R,60.0,R,30.0,R,30.0,R,36.0,R,16.0,R,20.0,R,225.0,R,114.0,R,111.0,R,0.0,R,0.0,R,0.0,R,432.0,R,223.0,R,209.0,R,43.0,R,25.0,R,18.0,R,100.0,R,51.0,R,49.0,R,28.0,R,11.0,R,17.0,2020,
